PIB y sus componentes;Valor absoluto/porcentaje/índice;periodo;Total
Producto interior bruto turístico;Precios corrientes: Millones de euros;2019(A);154.487,1
Producto interior bruto turístico;Precios corrientes: Millones de euros;2018(P);146.313,2
Producto interior bruto turístico;Precios corrientes: Millones de euros;2017;141.053,4
Producto interior bruto turístico;Precios corrientes: Millones de euros;2016;126.304,8
Producto interior bruto turístico;Precios corrientes: Millones de euros;2015;119.185,4
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2019(A);12,4
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2018(P);12,1
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2017;12,1
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2016;11,3
Producto interior bruto turístico;Precios corrientes: Porcentaje sobre el PIB;2015;11,1
